event_id,user_id,event_type,timestamp,app_version,major_version,os,country,session_id,properties,event_date,event_hour,day_of_week,week_of_year,year_month
EVT_000001,USER_202,share_clicked,2024-01-13 13:21:59+00:00,1.2.4,1,Web,PH,SESSION_5377,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-13,13,Saturday,2,2024-01
EVT_000002,USER_115,download_started,2024-01-11 15:55:09+00:00,2.2.8,2,Web,TH,SESSION_8935,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,15,Thursday,2,2024-01
EVT_000003,USER_179,remove_from_cart,2024-01-08 10:55:12+00:00,1.3.0,1,Android,VN,SESSION_7274,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,10,Monday,2,2024-01
EVT_000004,USER_098,wishlist_add,2024-01-08 22:58:51+00:00,2.0.2,2,Web,PH,SESSION_3492,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,22,Monday,2,2024-01
EVT_000005,USER_113,button_click,2024-01-06 03:55:54+00:00,2.0.2,2,Android,VN,SESSION_9617,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,3,Saturday,1,2024-01
EVT_000006,USER_249,checkout,2024-01-03 02:30:50+00:00,2.5.1,2,Android,VN,SESSION_6546,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-03,2,Wednesday,1,2024-01
EVT_000007,USER_161,rating_submitted,2024-01-14 17:24:20+00:00,1.4.1,1,iOS,VN,SESSION_9864,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-14,17,Sunday,2,2024-01
EVT_000008,USER_024,wishlist_remove,2024-01-11 09:14:47+00:00,1.3.2,1,Web,MY,SESSION_2612,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,9,Thursday,2,2024-01
EVT_000009,USER_204,app_close,2024-01-15 00:02:20+00:00,2.2.6,2,iOS,SG,SESSION_5806,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,0,Monday,3,2024-01
EVT_000010,USER_203,item_view,2024-01-09 13:36:43+00:00,1.0.9,1,Android,PH,SESSION_3785,"{'item_id': 'ITEM_799', 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,13,Tuesday,2,2024-01
EVT_000011,USER_037,remove_from_cart,2024-01-04 15:58:37+00:00,2.3.4,2,Web,ID,SESSION_8555,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-04,15,Thursday,1,2024-01
EVT_000012,USER_174,download_started,2024-01-15 14:57:18+00:00,1.3.5,1,Web,MY,SESSION_3588,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-15,14,Monday,3,2024-01
EVT_000013,USER_117,purchase,2024-01-11 13:44:16+00:00,2.3.1,2,iOS,TH,SESSION_4263,"{'item_id': 'ITEM_685', 'amount': 185.89, 'query': None, 'screen_name': None}",2024-01-11,13,Thursday,2,2024-01
EVT_000014,USER_213,wishlist_add,2024-01-05 22:18:01+00:00,1.4.0,1,Web,VN,SESSION_5497,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-05,22,Friday,1,2024-01
EVT_000015,USER_059,crash,2024-01-08 09:49:51+00:00,1.5.3,1,Web,MY,SESSION_6772,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,9,Monday,2,2024-01
EVT_000016,USER_175,search,2024-01-11 23:49:42+00:00,1.2.7,1,iOS,PH,SESSION_2591,"{'item_id': None, 'amount': None, 'query': 'search_term_47', 'screen_name': None}",2024-01-11,23,Thursday,2,2024-01
EVT_000017,USER_076,payment_success,2024-01-12 04:05:58+00:00,1.1.2,1,Web,MY,SESSION_7807,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-12,4,Friday,2,2024-01
EVT_000018,USER_213,item_view,2024-01-09 16:58:17+00:00,2.2.5,2,iOS,TH,SESSION_5210,"{'item_id': 'ITEM_177', 'amount': None, 'query': None, 'screen_name': None}",2024-01-09,16,Tuesday,2,2024-01
EVT_000019,USER_186,wishlist_add,2024-01-03 07:55:43+00:00,1.3.0,1,Android,PH,SESSION_6992,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-03,7,Wednesday,1,2024-01
EVT_000020,USER_192,checkout,2024-01-02 14:23:43+00:00,2.0.3,2,Android,ID,SESSION_7242,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,14,Tuesday,1,2024-01
EVT_000021,USER_157,remove_from_cart,2024-01-10 17:20:58+00:00,2.5.4,2,Web,TH,SESSION_2035,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-10,17,Wednesday,2,2024-01
EVT_000023,USER_179,download_started,2024-01-08 11:42:47+00:00,1.3.1,1,Android,PH,SESSION_7866,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-08,11,Monday,2,2024-01
EVT_000024,USER_095,add_to_cart,2024-01-07 08:02:44+00:00,2.1.5,2,iOS,VN,SESSION_8264,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-07,8,Sunday,1,2024-01
EVT_000025,USER_092,app_close,2024-01-06 17:57:41+00:00,2.1.1,2,Android,ID,SESSION_7523,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,17,Saturday,1,2024-01
EVT_000026,USER_153,app_open,2024-01-11 06:41:40+00:00,2.1.2,2,Web,SG,SESSION_1828,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-11,6,Thursday,2,2024-01
EVT_000027,USER_056,remove_from_cart,2024-01-02 17:13:37+00:00,1.4.0,1,Android,SG,SESSION_6383,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-02,17,Tuesday,1,2024-01
EVT_000028,USER_045,button_click,2024-01-03 17:16:51+00:00,1.0.5,1,iOS,PH,SESSION_1422,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-03,17,Wednesday,1,2024-01
EVT_000029,USER_014,search,2024-01-06 00:11:16+00:00,1.5.1,1,Android,TH,SESSION_7897,"{'item_id': None, 'amount': None, 'query': 'search_term_100', 'screen_name': None}",2024-01-06,0,Saturday,1,2024-01
EVT_000030,USER_116,share_clicked,2024-01-06 16:37:06+00:00,1.5.8,1,Android,TH,SESSION_4629,"{'item_id': None, 'amount': None, 'query': None, 'screen_name': None}",2024-01-06,16,Saturday,1,2024-01
